City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
230,Shizunai,JP,71.13,overcast clouds,42.3339,142.3669,Shizunai Eclipse Hotel
232,San Cristobal,VE,69.98,overcast clouds,7.7669,-72.225,Pirineos
233,El Dorado,US,73.98,scattered clouds,38.7666,-120.5177,South Fork Group Campground
234,Malibu,US,79.23,overcast clouds,34.005,-118.8101,Malibu Country Inn
237,Zatoka,UA,72.55,clear sky,46.0725,30.4654,Sonyachna
241,Gat,IL,81.28,clear sky,31.61,34.7642,OlusHome
242,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
244,Sovetskiy,RU,73.31,scattered clouds,61.3614,63.5842,Apartment on Kievskaya 29
245,Portland,US,75.88,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
246,Soyo,AO,68.27,scattered clouds,-6.1349,12.3689,Hospedaria ndozi'ame
247,Gunjur,GM,73.47,scattered clouds,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
248,Elizabeth City,US,78.03,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
255,Rantepao,ID,75.43,broken clouds,-2.9701,119.8978,Hotel Luta Resort
256,Sulina,RO,72.19,clear sky,45.1559,29.6536,Hotel Delta Est
258,Tatarskaya Kargala,RU,73.42,clear sky,51.9495,55.1731,Sanatorium Rosinka
261,Atambua,ID,83.05,broken clouds,-9.1061,124.8925,Kost Alfa Flat
263,Carnarvon,AU,68.07,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
264,Palmer,US,69.51,overcast clouds,42.1584,-72.3287,Wedgewood Motel
267,Isla Vista,US,77.92,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
270,Bandundu,CD,78.76,broken clouds,-3.3167,17.3667,Coja Color
271,Waingapu,ID,84.4,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
273,Sorong,ID,82.26,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
275,Banda Aceh,ID,78.53,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
