City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
157,Bosobolo,CD,2022-07-20 21:11:20,4.1833,19.9,71.15,96,96,0.56
158,Bowen,AU,2022-07-20 21:11:20,-20.0167,148.2333,65.34,93,99,10.89
159,Nanortalik,GL,2022-07-20 21:11:22,60.1432,-45.2371,51.3,83,15,14.09
160,Gornoye Loo,RU,2022-07-20 21:11:22,43.7129,39.6049,69.58,84,80,3.15
161,Orocovis,PR,2022-07-20 21:11:23,18.2271,-66.3917,81.61,58,15,10.02
162,Ayia Anna,CY,2022-07-20 21:11:23,34.9399,33.4843,84.25,46,0,10.36
163,Amontada,BR,2022-07-20 21:11:24,-3.3617,-39.8317,81.14,55,90,7.34
164,Itapolis,BR,2022-07-20 21:11:24,-21.5956,-48.8128,78.03,39,6,7.23
165,Port Elizabeth,ZA,2022-07-20 21:11:24,-33.918,25.5701,56.32,95,100,3.0
166,East London,ZA,2022-07-20 21:11:25,-33.0153,27.9116,61.97,83,95,4.54
167,Pianoro,IT,2022-07-20 21:11:26,44.393,11.3423,80.24,51,0,6.91
168,Mahibadhoo,MV,2022-07-20 21:11:26,3.7833,72.9667,79.72,78,100,13.02
169,Isangel,VU,2022-07-20 21:11:27,-19.55,169.2667,80.71,89,40,4.61
170,Port Hedland,AU,2022-07-20 21:10:06,-20.3167,118.5667,53.65,76,0,3.44
171,San Cristobal,VE,2022-07-20 21:11:27,7.7669,-72.225,78.98,61,54,5.86
172,Leningradskiy,RU,2022-07-20 21:11:28,69.3833,178.4167,33.15,98,100,18.77
173,Northam,GB,2022-07-20 21:11:28,51.0333,-4.2167,63.39,77,11,13.44
174,Longyearbyen,SJ,2022-07-20 21:11:14,78.2186,15.6401,49.84,87,75,6.91
175,Russell,US,2022-07-20 21:11:29,32.3502,-85.1999,93.11,52,65,3.98
176,Omboue,GA,2022-07-20 21:11:29,-1.5746,9.2618,71.74,88,74,6.78
177,Jalu,LY,2022-07-20 21:11:30,29.0331,21.5482,81.45,36,0,17.36
178,Chicama,PE,2022-07-20 21:11:30,-7.8447,-79.1469,63.14,60,2,9.13
179,Pampas,PE,2022-07-20 21:11:30,-12.4,-74.9,61.16,31,58,6.96
180,Cherskiy,RU,2022-07-20 21:11:08,68.75,161.3,42.03,64,18,13.0
181,Coihaique,CL,2022-07-20 21:11:31,-45.5752,-72.0662,32.61,93,75,8.05
182,Barrow,US,2022-07-20 21:11:31,71.2906,-156.7887,51.82,62,100,6.91
183,Provideniya,RU,2022-07-20 21:09:42,64.3833,-173.3,46.51,76,75,20.13
184,Canto Do Buriti,BR,2022-07-20 21:11:32,-8.11,-42.9444,82.47,29,11,7.05
185,Hudson Bay,CA,2022-07-20 21:11:33,52.85,-102.3842,70.9,47,64,14.16
186,Banes,CU,2022-07-20 21:11:33,20.9625,-75.7186,85.15,65,75,14.92
187,La Ronge,CA,2022-07-20 21:12:34,55.1001,-105.2842,68.22,60,75,25.32
188,Sembakung,ID,2022-07-20 21:12:34,3.8167,117.25,72.7,99,100,1.99
189,Calama,CL,2022-07-20 21:11:47,-22.4667,-68.9333,72.09,8,20,18.41
190,Gavle,SE,2022-07-20 21:12:35,60.6745,17.1417,71.92,60,76,4.72
191,Airai,TL,2022-07-20 21:12:36,-8.9266,125.4092,56.71,94,88,3.53
192,Anadyr,RU,2022-07-20 21:12:37,64.75,177.4833,45.1,65,20,11.18
193,Kamenka,RU,2022-07-20 21:12:37,51.3223,42.7678,58.21,82,78,7.61
194,Kumhari,IN,2022-07-20 21:12:38,21.2667,81.5167,76.93,88,100,8.19
195,Hasaki,JP,2022-07-20 21:12:38,35.7333,140.8333,75.6,82,99,8.32
196,Dapaong,TG,2022-07-20 21:12:39,10.8639,0.205,79.36,64,71,0.54
197,Comodoro Rivadavia,AR,2022-07-20 21:10:57,-45.8667,-67.5,44.46,33,0,25.32
198,Saldanha,ZA,2022-07-20 21:08:24,-33.0117,17.9442,53.33,63,0,11.25
199,Franca,BR,2022-07-20 21:12:40,-20.5386,-47.4008,70.05,41,0,6.29
200,Ponta Do Sol,PT,2022-07-20 21:12:40,32.6667,-17.1,72.72,78,5,6.98
201,Ostrovnoy,RU,2022-07-20 21:12:40,68.0531,39.5131,47.05,96,23,4.5
202,Bandarbeyla,SO,2022-07-20 21:12:41,9.4942,50.8122,73.98,88,79,27.16
203,Araouane,ML,2022-07-20 21:08:34,18.9048,-3.5265,91.99,38,88,6.53
204,Los Llanos De Aridane,ES,2022-07-20 21:12:42,28.6585,-17.9182,69.55,83,11,16.11
205,Luderitz,NA,2022-07-20 21:12:42,-26.6481,15.1594,56.98,60,3,17.6
206,Mitu,CO,2022-07-20 21:12:43,1.1983,-70.1733,73.2,98,100,2.17
207,Port Macquarie,AU,2022-07-20 21:12:43,-31.4333,152.9167,53.49,94,75,1.14
208,Carnarvon,AU,2022-07-20 21:11:07,-24.8667,113.6333,70.59,79,23,14.63
209,Sorong,ID,2022-07-20 21:12:44,-0.8833,131.25,77.31,90,96,8.48
210,Posse,BR,2022-07-20 21:12:44,-14.0931,-46.3694,75.34,35,5,5.99
211,Padang,ID,2022-07-20 21:07:51,-0.9492,100.3543,75.88,85,54,4.03
212,Sukhumi,GE,2022-07-20 21:12:45,43.0033,41.0153,69.46,87,36,3.38
213,Nikolskoye,RU,2022-07-20 21:12:45,59.7035,30.7861,68.88,65,100,9.51
214,Lavrentiya,RU,2022-07-20 21:12:46,65.5833,-171.0,39.74,96,100,16.64
215,Tandil,AR,2022-07-20 21:12:46,-37.3217,-59.1332,55.69,59,42,8.57
216,Krasnoselkup,RU,2022-07-20 21:12:47,65.7,82.4667,51.13,86,100,2.84
217,Ribeira Grande,PT,2022-07-20 21:12:47,38.5167,-28.7,73.8,83,20,8.05
218,Nanakuli,US,2022-07-20 21:12:48,21.3906,-158.1547,84.15,54,75,12.66
219,Castro,BR,2022-07-20 21:12:48,-24.7911,-50.0119,61.99,83,2,4.27
220,Fairbanks,US,2022-07-20 21:12:48,64.8378,-147.7164,65.61,60,75,8.05
221,Invermere,CA,2022-07-20 21:12:49,50.5167,-116.0354,85.42,25,3,4.68
222,Tamiahua,MX,2022-07-20 21:12:49,21.2667,-97.45,89.19,65,16,18.68
223,Arlit,NE,2022-07-20 21:12:50,18.7369,7.3853,93.02,29,75,6.04
224,Leshukonskoye,RU,2022-07-20 21:12:50,64.8989,45.7622,63.21,66,64,3.15
225,Sitka,US,2022-07-20 21:10:23,57.0531,-135.33,53.49,87,100,5.75
226,Laguna,US,2022-07-20 21:11:09,38.421,-121.4238,102.31,26,0,8.05
227,Chaplygin,RU,2022-07-20 21:12:51,53.2432,39.9629,54.93,98,100,4.76
228,Mundi,IN,2022-07-20 21:12:52,22.0667,76.5,75.99,92,100,11.05
229,Oktyabrskiy,RU,2022-07-20 21:12:52,54.4815,53.471,59.63,77,98,4.21
230,Bubaque,GW,2022-07-20 21:12:52,11.2833,-15.8333,76.68,91,100,16.84
231,Shalya,RU,2022-07-20 21:12:53,57.2471,58.7298,50.99,97,66,4.74
232,Sarkand,KZ,2022-07-20 21:12:53,45.41,79.9186,65.89,22,0,6.93
233,Adre,TD,2022-07-20 21:13:54,13.4667,22.2,74.64,69,100,9.75
234,Kendari,ID,2022-07-20 21:12:48,-3.945,122.4989,74.37,94,23,1.34
235,Jequitinhonha,BR,2022-07-20 21:13:54,-16.4339,-41.0033,73.71,69,85,3.65
236,Talipparamba,IN,2022-07-20 21:13:55,12.05,75.35,76.21,91,94,5.53
237,Eagle Pass,US,2022-07-20 21:13:55,28.7091,-100.4995,107.28,29,0,11.5
238,Sao Filipe,CV,2022-07-20 21:09:35,14.8961,-24.4956,76.57,88,81,5.95
239,Margate,GB,2022-07-20 21:13:56,51.3813,1.3862,71.69,72,30,4.0
240,Tambovka,RU,2022-07-20 21:13:57,50.0969,128.0489,64.18,88,2,4.23
241,Honningsvag,NO,2022-07-20 21:10:48,70.9821,25.9704,49.75,100,78,0.0
242,Guanambi,BR,2022-07-20 21:13:57,-14.2233,-42.7814,73.08,61,8,14.72
243,Awjilah,LY,2022-07-20 21:13:58,29.1081,21.2869,81.14,35,0,16.24
244,Urengoy,RU,2022-07-20 21:13:58,65.9667,78.3667,50.31,72,100,9.06
245,Macklin,CA,2022-07-20 21:13:59,52.3334,-109.9348,71.49,42,0,17.69
246,Ballina,AU,2022-07-20 21:13:59,-28.8667,153.5667,55.02,98,100,16.6
247,Bathsheba,BB,2022-07-20 21:14:00,13.2167,-59.5167,84.81,95,40,16.11
248,Gebze,TR,2022-07-20 21:14:00,40.8028,29.4307,68.05,83,0,6.91
249,Hovd,MN,2022-07-20 21:14:01,48.0056,91.6419,55.2,56,7,3.8
250,Palu,ID,2022-07-20 21:14:02,-0.8917,119.8707,74.66,90,7,3.13
251,Manicore,BR,2022-07-20 21:14:02,-5.8092,-61.3003,92.46,36,62,2.64
252,Nago,JP,2022-07-20 21:14:03,26.5881,127.9761,82.98,89,96,9.75
253,Masty,BY,2022-07-20 21:14:03,53.4122,24.5387,57.22,89,0,5.19
254,Alizai,PK,2022-07-20 21:14:04,33.5383,70.3462,88.05,54,64,6.69
255,Komsomolskiy,UZ,2022-07-20 21:12:43,40.4272,71.7189,79.52,36,0,6.91
256,High Level,CA,2022-07-20 21:14:04,58.5169,-117.136,77.86,24,33,10.94
257,Bam,IR,2022-07-20 21:14:05,29.106,58.357,91.0,10,3,8.03
258,Cairns,AU,2022-07-20 21:14:05,-16.9167,145.7667,69.75,85,100,9.22
259,Shaowu,CN,2022-07-20 21:14:06,27.3409,117.4831,78.03,86,100,1.63
260,Makat,KZ,2022-07-20 21:14:06,47.6469,53.3463,80.01,26,100,14.16
261,Grand Gaube,MU,2022-07-20 21:14:07,-20.0064,57.6608,66.38,75,94,13.0
262,Yatou,CN,2022-07-20 21:10:52,37.15,122.3833,70.47,92,90,5.41
263,Warmbad,NA,2022-07-20 21:14:07,-28.45,18.7333,55.62,43,22,4.21
264,Naze,JP,2022-07-20 21:14:08,28.3667,129.4833,81.16,88,57,16.89
265,Chokurdakh,RU,2022-07-20 21:14:08,70.6333,147.9167,43.5,71,89,9.19
266,Athabasca,CA,2022-07-20 21:14:09,54.7169,-113.2854,74.08,37,12,13.65
267,Zapolyarnyy,RU,2022-07-20 21:14:09,69.4154,30.8136,54.68,91,83,2.06
268,Santa Cruz,BO,2022-07-20 21:14:10,-17.8,-63.1667,85.46,51,7,13.8
269,Kyzyl-Suu,KG,2022-07-20 21:14:10,42.3414,78.0056,59.38,34,0,4.21
270,Antofagasta,CL,2022-07-20 21:10:08,-23.65,-70.4,58.28,77,99,4.07
271,Tautira,PF,2022-07-20 21:14:11,-17.7333,-149.15,76.24,73,0,10.36
272,Simpang,ID,2022-07-20 21:14:12,-1.2667,104.0833,73.71,98,21,2.24
273,Galle,LK,2022-07-20 21:14:12,6.0367,80.217,78.3,86,97,15.66
274,Tiksi,RU,2022-07-20 21:14:13,71.6872,128.8694,38.26,90,86,18.66
275,Ucluelet,CA,2022-07-20 21:14:13,48.9329,-125.5528,65.62,71,8,4.38
276,Fortuna,US,2022-07-20 21:14:14,40.5982,-124.1573,68.86,70,36,7.81
277,Quincy,US,2022-07-20 21:10:33,42.2529,-71.0023,99.14,47,20,11.5
278,Inhambane,MZ,2022-07-20 21:15:15,-23.865,35.3833,68.14,83,0,7.18
